route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BDBN-4194,BDBN,"Airport - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4083,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4087,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4171,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4172,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4176,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4177,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4179,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4180,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4181,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4183,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4185,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4190,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4195,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4196,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDBR-4197,BDBR,"Airport - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4083,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4084,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4086,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4087,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4164,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4165,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4171,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4172,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4176,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4177,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4179,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4180,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4181,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4183,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4185,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4190,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BDVL-4195,BDVL,"Airport - Varsity Lakes",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/airport-line,FFC425,000000
BNBD-4193,BNBD,"Beenleigh - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,FFC425,FFFFFF
BNBD-4194,BNBD,"Beenleigh - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,FFC425,FFFFFF
BNBN-4196,BNBN,"Beenleigh - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBN-4197,BNBN,"Beenleigh - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4083,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4084,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4086,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4087,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4164,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4165,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4171,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4172,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
BNBR-4176,BNBR,"Beenleigh - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables/train/T/beenleigh-line,E31837,FFFFFF
